Episodes, Test_Sample_Rate, Total_Avg_Rate
100,2.0,2.0
200,3.0,2.5
300,21.0,8.67
400,16.0,10.5
500,41.0,16.6
600,32.0,19.17
700,30.0,20.71
800,30.0,21.88
900,43.0,24.22
1000,45.0,26.3
1100,60.0,29.36
1200,67.0,32.5
1300,65.0,35.0
1400,53.0,36.29
1500,69.0,38.47
1600,59.0,39.75
1700,63.0,41.12
1800,66.0,42.5
1900,65.0,43.68
2000,82.0,45.6
2100,64.0,46.48
2200,80.0,48.0
2300,66.0,48.78
2400,71.0,49.71
2500,73.0,50.64
2600,71.0,51.42
2700,70.0,52.11
2800,73.0,52.86
2900,76.0,53.66
3000,74.0,54.33
3100,74.0,54.97
3200,71.0,55.47
3300,73.0,56.0
3400,70.0,56.41
3500,76.0,56.97
3600,70.0,57.33
3700,75.0,57.81
3800,71.0,58.16
3900,68.0,58.41
4000,69.0,58.68
4100,69.0,58.93
4200,72.0,59.24
4300,75.0,59.6
4400,38.0,59.11
4500,62.0,59.18
4600,72.0,59.46
4700,77.0,59.83
4800,77.0,60.19
4900,80.0,60.59
5000,57.0,60.52
5100,80.0,60.9
5200,76.0,61.19
5300,80.0,61.55
5400,76.0,61.81
5500,67.0,61.91
5600,80.0,62.23
5700,75.0,62.46
5800,75.0,62.67
5900,78.0,62.93
6000,76.0,63.15
6100,77.0,63.38
6200,72.0,63.52
6300,74.0,63.68
6400,82.0,63.97
6500,73.0,64.11
6600,78.0,64.32
6700,72.0,64.43
6800,73.0,64.56
6900,75.0,64.71
7000,69.0,64.77
7100,72.0,64.87
7200,75.0,65.01
7300,72.0,65.11
7400,73.0,65.22
7500,78.0,65.39
7600,74.0,65.5
7700,79.0,65.68
7800,57.0,65.56
7900,73.0,65.66
8000,73.0,65.75
8100,72.0,65.83
8200,79.0,65.99
8300,72.0,66.06
8400,25.0,65.57
8500,76.0,65.69
8600,78.0,65.84
8700,74.0,65.93
8800,74.0,66.02
8900,75.0,66.12
9000,74.0,66.21
9100,73.0,66.29
9200,79.0,66.42
9300,75.0,66.52
9400,73.0,66.59
9500,62.0,66.54
9600,80.0,66.68
9700,82.0,66.84
9800,72.0,66.89
9900,78.0,67.0
10000,72.0,67.05
10100,57.0,66.95
10200,81.0,67.09
10300,63.0,67.05
10400,74.0,67.12
10500,73.0,67.17
10600,75.0,67.25
10700,77.0,67.34
10800,76.0,67.42
10900,71.0,67.45
11000,73.0,67.5
11100,79.0,67.6
11200,76.0,67.68
11300,76.0,67.75
11400,73.0,67.8
11500,78.0,67.89
11600,75.0,67.95
11700,64.0,67.91
11800,78.0,68.0
11900,79.0,68.09
12000,72.0,68.12
12100,73.0,68.17
12200,72.0,68.2
12300,71.0,68.22
12400,78.0,68.3
12500,76.0,68.36
12600,75.0,68.41
12700,73.0,68.45
12800,76.0,68.51
12900,71.0,68.53
13000,72.0,68.55
13100,74.0,68.6
13200,76.0,68.65
13300,81.0,68.74
13400,80.0,68.83
13500,78.0,68.9
13600,74.0,68.93
13700,76.0,68.99
13800,84.0,69.09
13900,72.0,69.12
14000,76.0,69.16
14100,52.0,69.04
14200,52.0,68.92
14300,77.0,68.98
14400,80.0,69.06
14500,82.0,69.14
14600,78.0,69.21
14700,74.0,69.24
14800,55.0,69.14
14900,70.0,69.15
15000,79.0,69.21
15100,74.0,69.25
15200,70.0,69.25
15300,49.0,69.12
15400,74.0,69.15
15500,75.0,69.19
15600,79.0,69.25
15700,75.0,69.29
15800,76.0,69.33
15900,71.0,69.34
16000,80.0,69.41
16100,74.0,69.43
16200,71.0,69.44
16300,86.0,69.55
16400,55.0,69.46
16500,75.0,69.49
16600,73.0,69.51
16700,71.0,69.52
16800,71.0,69.53
16900,78.0,69.58
17000,76.0,69.62
17100,70.0,69.62
17200,69.0,69.62
17300,71.0,69.62
17400,71.0,69.63
17500,62.0,69.59
17600,75.0,69.62
17700,77.0,69.66
17800,70.0,69.66
17900,74.0,69.69
18000,81.0,69.75
18100,76.0,69.78
18200,72.0,69.8
18300,74.0,69.82
18400,65.0,69.79
18500,63.0,69.76
18600,74.0,69.78
18700,61.0,69.73
18800,79.0,69.78
18900,70.0,69.78
19000,68.0,69.77
19100,76.0,69.81
19200,80.0,69.86
19300,78.0,69.9
19400,70.0,69.9
19500,76.0,69.93
19600,70.0,69.93
19700,82.0,69.99
19800,77.0,70.03
19900,64.0,70.0
20000,78.0,70.04
20100,72.0,70.05
20200,63.0,70.01
20300,75.0,70.04
20400,75.0,70.06
20500,79.0,70.11
20600,75.0,70.13
20700,69.0,70.13
20800,64.0,70.1
20900,79.0,70.14
21000,70.0,70.14
21100,76.0,70.17
21200,71.0,70.17
21300,77.0,70.2
21400,80.0,70.25
21500,78.0,70.28
21600,72.0,70.29
21700,75.0,70.31
21800,64.0,70.28
21900,69.0,70.28
22000,75.0,70.3
22100,66.0,70.28
22200,65.0,70.26
22300,61.0,70.22
22400,68.0,70.21
22500,71.0,70.21
22600,58.0,70.15
22700,72.0,70.16
22800,71.0,70.17
22900,75.0,70.19
23000,76.0,70.21
23100,58.0,70.16
23200,68.0,70.15
23300,68.0,70.14
23400,75.0,70.16
23500,76.0,70.19
23600,82.0,70.24
23700,72.0,70.24
23800,72.0,70.25
23900,79.0,70.29
24000,74.0,70.3
24100,73.0,70.32
24200,67.0,70.3
24300,74.0,70.32
24400,82.0,70.36
24500,71.0,70.37
24600,76.0,70.39
24700,72.0,70.4
24800,69.0,70.39
24900,79.0,70.43
25000,75.0,70.44
25100,74.0,70.46
25200,70.0,70.46
25300,79.0,70.49
25400,83.0,70.54
25500,73.0,70.55
25600,82.0,70.59
25700,84.0,70.65
25800,78.0,70.67
25900,71.0,70.68
26000,70.0,70.67
26100,76.0,70.69
26200,79.0,70.73
26300,77.0,70.75
26400,79.0,70.78
26500,73.0,70.79
26600,73.0,70.8
26700,74.0,70.81
26800,63.0,70.78
26900,75.0,70.8
27000,62.0,70.76
27100,69.0,70.76
27200,81.0,70.79
27300,66.0,70.78
27400,79.0,70.81
27500,0.0,70.55
27600,78.0,70.58
27700,73.0,70.58
27800,69.0,70.58
27900,70.0,70.58
28000,70.0,70.57
28100,77.0,70.6
28200,76.0,70.62
28300,76.0,70.64
28400,77.0,70.66
28500,78.0,70.68
28600,71.0,70.69
28700,78.0,70.71
28800,76.0,70.73
28900,71.0,70.73
29000,76.0,70.75
29100,74.0,70.76
29200,75.0,70.77
29300,68.0,70.76
29400,60.0,70.73
29500,71.0,70.73
29600,76.0,70.75
29700,81.0,70.78
29800,73.0,70.79
29900,69.0,70.78
30000,79.0,70.81
30100,66.0,70.79
30200,83.0,70.83
30300,59.0,70.8
30400,76.0,70.81
30500,74.0,70.82
30600,75.0,70.84
30700,63.0,70.81
30800,72.0,70.81
30900,68.0,70.81
31000,75.0,70.82
31100,67.0,70.81
31200,73.0,70.81
31300,73.0,70.82
31400,81.0,70.85
31500,70.0,70.85
31600,72.0,70.85
31700,73.0,70.86
31800,68.0,70.85
31900,70.0,70.85
32000,76.0,70.87
32100,82.0,70.9
32200,72.0,70.9
32300,73.0,70.91
32400,74.0,70.92
32500,79.0,70.94
32600,77.0,70.96
