Episodes, Test_Sample_Rate, Total_Avg_Rate
100,0.0,0.0
200,36.0,18.0
300,2.0,12.67
400,8.0,11.5
500,9.0,11.0
600,12.0,11.17
700,15.0,11.71
800,30.0,14.0
900,29.0,15.67
1000,23.0,16.4
1100,23.0,17.0
1200,24.0,17.58
1300,48.0,19.92
1400,73.0,23.71
1500,83.0,27.67
1600,79.0,30.88
1700,73.0,33.35
1800,73.0,35.56
1900,66.0,37.16
2000,62.0,38.4
2100,67.0,39.76
2200,70.0,41.14
2300,70.0,42.39
2400,73.0,43.67
2500,78.0,45.04
2600,73.0,46.12
2700,75.0,47.19
2800,78.0,48.29
2900,75.0,49.21
3000,74.0,50.03
3100,79.0,50.97
3200,70.0,51.56
3300,50.0,51.52
3400,71.0,52.09
3500,62.0,52.37
3600,74.0,52.97
3700,74.0,53.54
3800,51.0,53.47
3900,70.0,53.9
4000,54.0,53.9
4100,79.0,54.51
4200,76.0,55.02
4300,74.0,55.47
4400,78.0,55.98
4500,53.0,55.91
4600,76.0,56.35
4700,79.0,56.83
4800,73.0,57.17
4900,78.0,57.59
5000,72.0,57.88
5100,79.0,58.29
5200,77.0,58.65
5300,74.0,58.94
5400,72.0,59.19
5500,79.0,59.55
5600,73.0,59.79
5700,62.0,59.82
5800,71.0,60.02
5900,79.0,60.34
6000,72.0,60.53
6100,74.0,60.75
6200,80.0,61.06
6300,74.0,61.27
6400,73.0,61.45
6500,76.0,61.68
6600,72.0,61.83
6700,71.0,61.97
6800,73.0,62.13
6900,72.0,62.28
7000,77.0,62.49
7100,79.0,62.72
7200,71.0,62.83
7300,74.0,62.99
7400,74.0,63.14
7500,70.0,63.23
7600,67.0,63.28
7700,65.0,63.3
7800,71.0,63.4
7900,75.0,63.54
8000,69.0,63.61
8100,70.0,63.69
8200,67.0,63.73
8300,73.0,63.84
8400,71.0,63.93
8500,70.0,64.0
8600,72.0,64.09
8700,77.0,64.24
8800,75.0,64.36
8900,77.0,64.51
9000,61.0,64.47
9100,70.0,64.53
9200,75.0,64.64
9300,47.0,64.45
9400,76.0,64.57
9500,76.0,64.69
9600,72.0,64.77
9700,76.0,64.89
9800,52.0,64.76
9900,74.0,64.85
10000,72.0,64.92
10100,73.0,65.0
10200,73.0,65.08
10300,79.0,65.21
10400,71.0,65.27
10500,54.0,65.16
10600,52.0,65.04
10700,75.0,65.13
10800,75.0,65.22
10900,68.0,65.25
11000,69.0,65.28
11100,70.0,65.32
11200,68.0,65.35
11300,70.0,65.39
11400,69.0,65.42
11500,76.0,65.51
11600,79.0,65.63
11700,68.0,65.65
11800,74.0,65.72
11900,72.0,65.77
12000,84.0,65.93
12100,68.0,65.94
12200,77.0,66.03
12300,79.0,66.14
12400,69.0,66.16
12500,61.0,66.12
12600,76.0,66.2
12700,81.0,66.31
12800,74.0,66.38
12900,65.0,66.36
13000,77.0,66.45
13100,72.0,66.49
13200,71.0,66.52
