Episodes, Test_Sample_Rate, Total_Avg_Rate
100,11.0,11.0
200,3.0,7.0
300,11.0,8.33
400,17.0,10.5
500,14.0,11.2
600,8.0,10.67
700,14.0,11.14
800,9.0,10.88
900,13.0,11.11
1000,15.0,11.5
1100,8.0,11.18
1200,18.0,11.75
1300,18.0,12.23
1400,25.0,13.14
1500,40.0,14.93
1600,11.0,14.69
1700,30.0,15.59
1800,20.0,15.83
1900,76.0,19.0
2000,12.0,18.65
2100,52.0,20.24
2200,23.0,20.36
2300,14.0,20.09
2400,58.0,21.67
2500,9.0,21.16
2600,48.0,22.19
2700,74.0,24.11
2800,43.0,24.79
2900,18.0,24.55
3000,74.0,26.2
3100,66.0,27.48
3200,12.0,27.0
3300,36.0,27.27
3400,24.0,27.18
3500,30.0,27.26
3600,61.0,28.19
3700,53.0,28.86
3800,49.0,29.39
3900,69.0,30.41
4000,72.0,31.45
4100,12.0,30.98
4200,21.0,30.74
4300,86.0,32.02
4400,34.0,32.07
4500,75.0,33.02
4600,69.0,33.8
4700,70.0,34.57
4800,47.0,34.83
4900,67.0,35.49
5000,25.0,35.28
5100,61.0,35.78
5200,74.0,36.52
5300,69.0,37.13
5400,56.0,37.48
5500,58.0,37.85
5600,65.0,38.34
5700,61.0,38.74
5800,34.0,38.66
5900,67.0,39.14
6000,70.0,39.65
6100,63.0,40.03
6200,23.0,39.76
6300,56.0,40.02
6400,29.0,39.84
6500,72.0,40.34
6600,68.0,40.76
6700,75.0,41.27
6800,69.0,41.68
6900,51.0,41.81
7000,74.0,42.27
7100,75.0,42.73
7200,79.0,43.24
7300,72.0,43.63
7400,64.0,43.91
7500,75.0,44.32
7600,70.0,44.66
7700,69.0,44.97
7800,59.0,45.15
7900,57.0,45.3
8000,30.0,45.11
8100,70.0,45.42
8200,80.0,45.84
8300,73.0,46.17
8400,78.0,46.55
8500,50.0,46.59
8600,75.0,46.92
8700,70.0,47.18
8800,76.0,47.51
8900,79.0,47.87
9000,78.0,48.2
9100,79.0,48.54
9200,57.0,48.63
9300,72.0,48.88
9400,74.0,49.15
9500,75.0,49.42
9600,45.0,49.37
9700,67.0,49.56
9800,69.0,49.76
9900,50.0,49.76
10000,72.0,49.98
10100,60.0,50.08
10200,76.0,50.33
10300,72.0,50.54
10400,75.0,50.78
10500,76.0,51.02
10600,77.0,51.26
10700,71.0,51.45
10800,74.0,51.66
10900,84.0,51.95
11000,56.0,51.99
11100,42.0,51.9
11200,63.0,52.0
11300,72.0,52.18
11400,76.0,52.39
11500,47.0,52.34
11600,62.0,52.42
11700,76.0,52.62
11800,70.0,52.77
11900,78.0,52.98
12000,66.0,53.09
12100,67.0,53.21
12200,73.0,53.37
12300,77.0,53.56
12400,67.0,53.67
12500,69.0,53.79
12600,28.0,53.59
12700,71.0,53.72
12800,72.0,53.87
12900,73.0,54.02
13000,30.0,53.83
13100,66.0,53.92
13200,67.0,54.02
13300,75.0,54.18
13400,84.0,54.4
13500,78.0,54.58
13600,48.0,54.53
13700,76.0,54.69
13800,72.0,54.81
13900,78.0,54.98
14000,60.0,55.01
14100,70.0,55.12
14200,79.0,55.29
14300,60.0,55.32
14400,78.0,55.48
14500,69.0,55.57
14600,73.0,55.69
14700,70.0,55.79
14800,84.0,55.98
14900,73.0,56.09
15000,76.0,56.23
15100,67.0,56.3
15200,69.0,56.38
15300,80.0,56.54
15400,72.0,56.64
15500,65.0,56.69
15600,65.0,56.74
15700,68.0,56.82
15800,78.0,56.95
15900,62.0,56.98
16000,72.0,57.08
16100,69.0,57.15
16200,78.0,57.28
16300,65.0,57.33
16400,66.0,57.38
16500,75.0,57.48
16600,79.0,57.61
16700,57.0,57.61
16800,26.0,57.42
16900,76.0,57.53
17000,66.0,57.58
17100,69.0,57.65
17200,69.0,57.72
17300,75.0,57.82
17400,75.0,57.91
17500,82.0,58.05
17600,71.0,58.13
17700,75.0,58.22
17800,78.0,58.33
17900,67.0,58.38
18000,74.0,58.47
18100,75.0,58.56
18200,71.0,58.63
18300,73.0,58.7
18400,77.0,58.8
18500,79.0,58.91
18600,73.0,58.99
18700,78.0,59.09
18800,70.0,59.15
18900,72.0,59.22
19000,77.0,59.31
19100,72.0,59.38
19200,72.0,59.44
19300,75.0,59.52
19400,70.0,59.58
19500,72.0,59.64
19600,79.0,59.74
19700,69.0,59.79
19800,53.0,59.75
19900,64.0,59.77
20000,74.0,59.85
20100,72.0,59.91
20200,68.0,59.95
20300,74.0,60.01
20400,72.0,60.07
20500,64.0,60.09
20600,77.0,60.17
20700,70.0,60.22
20800,71.0,60.27
20900,75.0,60.34
21000,78.0,60.43
21100,79.0,60.52
21200,74.0,60.58
21300,79.0,60.67
21400,74.0,60.73
21500,44.0,60.65
21600,73.0,60.71
21700,63.0,60.72
21800,78.0,60.8
21900,77.0,60.87
22000,72.0,60.92
22100,74.0,60.98
22200,58.0,60.97
22300,71.0,61.01
22400,68.0,61.04
22500,68.0,61.08
22600,42.0,60.99
22700,79.0,61.07
22800,72.0,61.12
22900,80.0,61.2
23000,68.0,61.23
23100,76.0,61.29
23200,72.0,61.34
23300,78.0,61.41
23400,78.0,61.48
23500,74.0,61.54
23600,77.0,61.6
23700,69.0,61.63
23800,77.0,61.7
23900,73.0,61.74
24000,63.0,61.75
24100,73.0,61.8
24200,73.0,61.84
24300,79.0,61.91
24400,69.0,61.94
24500,65.0,61.96
24600,38.0,61.86
24700,72.0,61.9
24800,73.0,61.94
24900,76.0,62.0
25000,77.0,62.06
25100,75.0,62.11
25200,76.0,62.17
25300,69.0,62.19
25400,74.0,62.24
25500,58.0,62.22
25600,83.0,62.3
25700,71.0,62.34
25800,74.0,62.38
25900,68.0,62.41
26000,73.0,62.45
26100,74.0,62.49
26200,74.0,62.53
26300,74.0,62.58
26400,75.0,62.63
26500,77.0,62.68
26600,72.0,62.71
26700,76.0,62.76
26800,68.0,62.78
26900,72.0,62.82
27000,74.0,62.86
27100,71.0,62.89
27200,76.0,62.94
27300,74.0,62.98
27400,77.0,63.03
27500,73.0,63.07
27600,74.0,63.11
27700,82.0,63.17
27800,60.0,63.16
27900,69.0,63.18
28000,77.0,63.23
28100,82.0,63.3
28200,70.0,63.32
28300,68.0,63.34
28400,48.0,63.29
28500,72.0,63.32
28600,77.0,63.36
28700,61.0,63.36
28800,78.0,63.41
28900,81.0,63.47
29000,70.0,63.49
29100,72.0,63.52
29200,75.0,63.56
29300,73.0,63.59
29400,69.0,63.61
29500,68.0,63.62
29600,75.0,63.66
29700,80.0,63.72
29800,75.0,63.76
29900,67.0,63.77
30000,78.0,63.81
30100,59.0,63.8
30200,76.0,63.84
30300,73.0,63.87
30400,72.0,63.89
30500,81.0,63.95
30600,70.0,63.97
30700,67.0,63.98
30800,73.0,64.01
30900,75.0,64.05
31000,73.0,64.07
